,Result: # Ballots,Meta: Project Name,Result: Received OP,OSO: # GitHub Repos,OSO: Total Stars,OSO: Total Forks,OSO: Total Contributors,OSO: Contributors Last 6 Months,OSO: Avg Monthly Active Devs Last 6 Months,OSO: Total Onchain Users,OSO: Onchain Users Last 6 Months,OSO: Total Downloads,OSO: Downloads Last 6 Months
201,44,LearnWeb3,49689.64,79.0,167.0,93.0,225.0,10.0,0.6666666666666666,0.0,0.0,0.0,0.0
202,43,WTF Academy,49689.64,31.0,2137.0,360.0,241.0,46.0,2.833333333333333,1.0,1.0,0.0,0.0
204,41,cryo,49689.64,1.0,0.0,0.0,26.0,26.0,0.8333333333333334,0.0,0.0,0.0,0.0
206,41,ETHBarcelona,49689.64,2.0,0.0,0.0,2.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0
208,40,Node Guardians,49689.64,5.0,36.0,30.0,24.0,10.0,0.5,0.0,0.0,0.0,0.0
211,39,Covalent,49689.64,16.0,0.0,0.0,135.0,58.0,2.1666666666666665,0.0,0.0,0.0,0.0
212,39,Sphinx (formerly ChugSplash),49689.64,1.0,185.0,0.0,10.0,6.0,2.0,0.0,0.0,2298.0,2298.0
213,39,Ponder,49689.64,1.0,0.0,0.0,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0
215,36,Giveth Web3 House,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,36,Greg's Farcaster Projects,49689.64,1.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
217,35,Odos,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,35,EZKL,49689.64,9.0,602.0,71.0,45.0,26.0,2.6666666666666665,0.0,0.0,0.0,0.0
223,33,Public Assembly ,49689.64,29.0,26.0,6.0,21.0,9.0,2.333333333333333,0.0,0.0,0.0,0.0
225,33,Synapse DAO,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,32,Spearbit,49689.64,1.0,436.0,0.0,12.0,6.0,0.1666666666666666,0.0,0.0,0.0,0.0
228,31,Alex Harley,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,30,Antoine,49689.64,7.0,0.0,0.0,31.0,6.0,1.0,0.0,0.0,154851.0,26464.0
231,30,RADAR,49689.64,12.0,0.0,0.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0
233,27,Bonding Curve Research Group,49689.64,2.0,0.0,0.0,3.0,2.0,0.1666666666666666,0.0,0.0,0.0,0.0
236,23,Ankr,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,43,Public HAUS,49197.71,64.0,0.0,0.0,119.0,16.0,4.5,33.0,30.0,0.0,0.0
242,34,Airstack,47956.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,30,DackieSwap,47956.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,29,Cannon-rs,47702.06,1.0,29.0,0.0,5.0,5.0,0.1666666666666666,0.0,0.0,0.0,0.0
248,58,Rollup.codes,46083.66,119.0,191.0,46.0,203.0,35.0,1.8333333333333333,0.0,0.0,0.0,0.0
250,42,Flexible Voting,44720.68,35.0,310.0,77.0,62.0,15.0,1.5,1.0,1.0,0.0,0.0
251,38,GasHawk,44720.68,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
252,27,OpenOcean,44720.68,16.0,0.0,0.0,12.0,1.0,0.3333333333333333,22465.0,12461.0,0.0,0.0
253,46,Token Terminal,42987.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,45,Dapp-Learning,39751.71,11.0,4211.0,1111.0,236.0,22.0,0.6666666666666666,2.0,2.0,0.0,0.0
