,Result: # Ballots,Result: Received OP,OSO: # GitHub Repos,OSO: Total Stars,OSO: Total Forks,OSO: Total Contributors,OSO: Contributors Last 6 Months,OSO: Avg Monthly Active Devs Last 6 Months,OSO: Total Onchain Users,OSO: Onchain Users Last 6 Months,OSO: Total Downloads,OSO: Downloads Last 6 Months
80,44,99379.28,6.0,18.0,1.0,10.0,4.0,0.0,76566.0,8536.0,0.0,0.0
81,44,99379.28,21.0,699.0,416.0,477.0,90.0,2.5,0.0,0.0,0.0,0.0
82,43,99379.28,15.0,0.0,7.0,18.0,6.0,2.0,0.0,0.0,1055.0,1055.0
84,42,99379.28,1.0,2689.0,771.0,223.0,17.0,0.1666666666666666,0.0,0.0,0.0,0.0
86,41,99379.28,1.0,0.0,0.0,310.0,18.0,0.0,0.0,0.0,826703.0,138862.0
89,40,99379.28,18.0,95.0,49.0,34.0,7.0,0.3333333333333333,63000.0,4543.0,0.0,0.0
93,36,99379.28,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
94,33,99379.28,1.0,0.0,0.0,3.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0
99,44,94410.32,1.0,0.0,0.0,15.0,6.0,0.6666666666666666,0.0,0.0,37194.0,30402.0
100,73,92656.28,3.0,694.0,74.0,114.0,11.0,0.8333333333333334,0.0,0.0,8211027.0,2056714.0
101,53,92656.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,56,92167.83,15.0,144.0,28.0,35.0,12.0,1.5,303.0,231.0,80334.0,49175.0
105,43,89441.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,43,89441.36,6.0,0.0,0.0,51.0,47.0,2.833333333333333,0.0,0.0,0.0,0.0
107,47,85313.14,12.0,93.0,0.0,34.0,9.0,0.3333333333333333,673820.0,198370.0,0.0,0.0
108,47,84472.39,1.0,0.0,0.0,48.0,48.0,0.6666666666666666,0.0,0.0,0.0,0.0
109,38,82229.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,36,81987.91,3.0,0.0,0.0,4.0,3.0,0.0,35406.0,16941.0,0.0,0.0
114,39,79503.43,31.0,0.0,0.0,19.0,11.0,2.1666666666666665,42.0,42.0,2880.0,2880.0
116,39,77515.84,7.0,0.0,0.0,53.0,41.0,1.6666666666666667,0.0,0.0,0.0,0.0
117,74,76445.53,36.0,0.0,0.0,654.0,137.0,6.166666666666667,0.0,0.0,0.0,0.0
121,64,76445.53,114.0,233.0,37.0,102.0,23.0,2.5,4113.0,3530.0,0.0,0.0
124,55,76445.53,33.0,0.0,0.0,185.0,5.0,0.5,0.0,0.0,0.0,0.0
126,49,76445.53,8.0,0.0,0.0,15.0,4.0,0.0,3.0,3.0,0.0,0.0
127,46,76445.53,23.0,30.0,3.0,33.0,19.0,4.666666666666667,268364.0,226935.0,35157.0,24896.0
128,46,76445.53,1.0,0.0,0.0,3.0,3.0,1.3333333333333333,6.0,6.0,0.0,0.0
130,48,75490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,59,74534.46,4.0,0.0,0.0,50.0,49.0,2.5,0.0,0.0,0.0,0.0
132,55,74534.46,1.0,50.0,11.0,9.0,9.0,0.6666666666666666,0.0,0.0,0.0,0.0
133,52,74534.46,34.0,212.0,5.0,112.0,16.0,0.3333333333333333,0.0,0.0,0.0,0.0
134,48,74534.46,1.0,310.0,77.0,28.0,8.0,0.1666666666666666,26547.0,12905.0,0.0,0.0
135,45,74534.46,28.0,122.0,65.0,547.0,32.0,4.166666666666667,11.0,7.0,0.0,0.0
136,44,74534.46,7.0,14.0,10.0,20.0,10.0,1.5,0.0,0.0,0.0,0.0
137,42,74534.46,35.0,258.0,70.0,34.0,13.0,2.5,0.0,0.0,0.0,0.0
138,40,74534.46,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
141,30,74534.46,2.0,0.0,0.0,2.0,2.0,0.1666666666666666,0.0,0.0,0.0,0.0
142,24,74534.46,46.0,0.0,0.0,352.0,44.0,1.1666666666666667,3.0,3.0,0.0,0.0
143,49,73252.54,1.0,33.0,0.0,635.0,8.0,1.1666666666666667,0.0,0.0,0.0,0.0
144,36,72511.1,3.0,209.0,41.0,15.0,4.0,0.1666666666666666,0.0,0.0,0.0,0.0
147,49,69565.5,26.0,0.0,0.0,108.0,7.0,1.1666666666666667,0.0,0.0,0.0,0.0
149,58,67081.02,25.0,0.0,0.0,31.0,11.0,1.1666666666666667,0.0,0.0,0.0,0.0
150,34,66145.36,1.0,0.0,0.0,20.0,9.0,0.3333333333333333,0.0,0.0,587804.0,194285.0
151,32,65585.86,17.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
153,28,65585.86,6.0,0.0,1.0,3.0,1.0,0.1666666666666666,3.0,3.0,0.0,0.0
154,45,64596.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,36,64596.53,28.0,3.0,4.0,13.0,5.0,1.0,5637.0,5637.0,0.0,0.0
157,28,63335.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,34,62112.05,20.0,2.0,0.0,133.0,34.0,2.333333333333333,0.0,0.0,0.0,0.0
162,49,61771.18,63.0,0.0,0.0,135.0,41.0,6.5,0.0,0.0,0.0,0.0
164,75,59627.57,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
166,56,59627.57,37.0,10.0,11.0,97.0,8.0,0.1666666666666666,0.0,0.0,0.0,0.0
168,40,59627.57,1.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0
171,26,58674.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,36,58132.41,1.0,0.0,0.0,12.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0
173,40,57218.12,10.0,0.0,0.0,24.0,10.0,0.6666666666666666,0.0,0.0,0.0,0.0
174,24,57143.09,2.0,0.0,0.0,7.0,4.0,0.8333333333333334,0.0,0.0,0.0,0.0
175,35,56637.25,14.0,0.0,0.0,18.0,4.0,0.3333333333333333,162.0,124.0,0.0,0.0
176,24,56038.49,6.0,105.0,22.0,16.0,7.0,2.6666666666666665,0.0,0.0,0.0,0.0
179,39,54658.61,9.0,0.0,0.0,21.0,12.0,1.5,0.0,0.0,0.0,0.0
180,38,54049.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,58,52755.99,14.0,37.0,12.0,78.0,4.0,0.0,0.0,0.0,0.0,0.0
182,38,52174.12,3.0,0.0,0.0,29.0,21.0,3.5,0.0,0.0,0.0,0.0
184,30,50913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,37,50461.82,1.0,18.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
188,51,49689.64,3.0,2.0,1.0,96.0,15.0,2.333333333333333,0.0,0.0,0.0,0.0
189,50,49689.64,4.0,0.0,0.0,23.0,8.0,0.5,1842.0,750.0,0.0,0.0
191,50,49689.64,23.0,2792.0,210.0,206.0,14.0,3.1666666666666665,69907.0,13332.0,0.0,0.0
194,49,49689.64,1.0,424.0,0.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0
196,47,49689.64,18.0,241.0,63.0,31.0,19.0,1.6666666666666667,0.0,0.0,1755.0,1755.0
200,44,49689.64,5.0,0.0,0.0,44.0,22.0,3.8333333333333335,0.0,0.0,0.0,0.0
201,44,49689.64,79.0,167.0,93.0,225.0,10.0,0.6666666666666666,0.0,0.0,0.0,0.0
202,43,49689.64,31.0,2137.0,360.0,241.0,46.0,2.833333333333333,1.0,1.0,0.0,0.0
204,41,49689.64,1.0,0.0,0.0,26.0,26.0,0.8333333333333334,0.0,0.0,0.0,0.0
206,41,49689.64,2.0,0.0,0.0,2.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0
208,40,49689.64,5.0,36.0,30.0,24.0,10.0,0.5,0.0,0.0,0.0,0.0
211,39,49689.64,16.0,0.0,0.0,135.0,58.0,2.1666666666666665,0.0,0.0,0.0,0.0
212,39,49689.64,1.0,185.0,0.0,10.0,6.0,2.0,0.0,0.0,2298.0,2298.0
213,39,49689.64,1.0,0.0,0.0,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0
215,36,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,36,49689.64,1.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
217,35,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,35,49689.64,9.0,602.0,71.0,45.0,26.0,2.6666666666666665,0.0,0.0,0.0,0.0
223,33,49689.64,29.0,26.0,6.0,21.0,9.0,2.333333333333333,0.0,0.0,0.0,0.0
225,33,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,32,49689.64,1.0,436.0,0.0,12.0,6.0,0.1666666666666666,0.0,0.0,0.0,0.0
228,31,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,30,49689.64,7.0,0.0,0.0,31.0,6.0,1.0,0.0,0.0,154851.0,26464.0
231,30,49689.64,12.0,0.0,0.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0
233,27,49689.64,2.0,0.0,0.0,3.0,2.0,0.1666666666666666,0.0,0.0,0.0,0.0
236,23,49689.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,43,49197.71,64.0,0.0,0.0,119.0,16.0,4.5,33.0,30.0,0.0,0.0
242,34,47956.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,30,47956.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,29,47702.06,1.0,29.0,0.0,5.0,5.0,0.1666666666666666,0.0,0.0,0.0,0.0
248,58,46083.66,119.0,191.0,46.0,203.0,35.0,1.8333333333333333,0.0,0.0,0.0,0.0
250,42,44720.68,35.0,310.0,77.0,62.0,15.0,1.5,1.0,1.0,0.0,0.0
251,38,44720.68,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
252,27,44720.68,16.0,0.0,0.0,12.0,1.0,0.3333333333333333,22465.0,12461.0,0.0,0.0
253,46,42987.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,45,39751.71,11.0,4211.0,1111.0,236.0,22.0,0.6666666666666666,2.0,2.0,0.0,0.0
257,32,39751.71,5.0,9.0,0.0,6.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0
258,25,39751.71,4.0,0.0,0.0,2.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0
259,25,39670.22,1.0,0.0,0.0,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0
261,26,38548.73,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
262,46,38223.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,38,38223.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,38,38223.26,1.0,0.0,42.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
271,31,38223.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,31,38223.26,47.0,12.0,10.0,8.0,5.0,1.1666666666666667,433.0,51.0,0.0,0.0
276,50,37214.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,29,34782.75,2.0,0.0,0.0,3.0,3.0,0.5,997.0,997.0,0.0,0.0
280,27,34782.75,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
281,19,34782.75,5.0,1.0,0.0,1.0,1.0,0.6666666666666666,15.0,15.0,0.0,0.0
284,42,32298.27,10.0,961.0,907.0,607.0,143.0,7.5,0.0,0.0,0.0,0.0
285,29,31801.37,33.0,21.0,15.0,35.0,8.0,1.1666666666666667,93.0,56.0,0.0,0.0
289,25,30297.76,1.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
291,26,30055.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,55,29813.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,41,29813.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,35,29813.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,32,29813.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,23,29813.79,3.0,0.0,0.0,2.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0
298,36,28819.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,33,28318.13,3.0,34.0,11.0,13.0,8.0,1.6666666666666667,55.0,55.0,0.0,0.0
301,32,28291.29,3.0,0.0,0.0,7.0,5.0,0.1666666666666666,0.0,0.0,0.0,0.0
303,40,27826.2,56.0,271.0,130.0,68.0,28.0,9.666666666666666,0.0,0.0,2252.0,1530.0
305,37,27544.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,38,27329.3,1.0,1.0,0.0,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0
309,34,27329.3,1.0,24.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
310,34,26709.18,9.0,0.0,0.0,78.0,18.0,1.1666666666666667,0.0,0.0,0.0,0.0
313,37,24844.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,36,24844.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,31,24844.82,43.0,0.0,0.0,114.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.0
319,25,24844.82,7.0,3.0,1.0,17.0,8.0,0.1666666666666666,0.0,0.0,0.0,0.0
320,25,24844.82,1.0,0.0,0.0,4.0,4.0,1.8333333333333333,0.0,0.0,0.0,0.0
321,24,24844.82,7.0,3.0,3.0,13.0,3.0,0.1666666666666666,2281.0,871.0,0.0,0.0
322,21,24844.82,28.0,5.0,3.0,107.0,2.0,0.0,0.0,0.0,0.0,0.0
323,19,24790.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,22,24601.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,31,24357.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,29,24357.86,12.0,80.0,28.0,37.0,15.0,4.833333333333333,388604.0,15836.0,0.0,0.0
331,23,24357.86,66.0,23.0,26.0,688.0,8.0,0.1666666666666666,0.0,0.0,0.0,0.0
334,48,23607.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,47,23164.32,41.0,37.0,35.0,140.0,30.0,0.1666666666666666,0.0,0.0,0.0,0.0
340,22,22116.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,22,22116.86,8.0,1.0,0.0,28.0,2.0,0.5,0.0,0.0,0.0,0.0
343,18,22116.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,18,22116.86,24.0,0.0,0.0,28.0,6.0,0.1666666666666666,0.0,0.0,0.0,0.0
347,48,21366.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,19,20551.64,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
352,43,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,37,19875.86,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
358,34,19875.86,2.0,959.0,157.0,203.0,21.0,0.5,0.0,0.0,0.0,0.0
361,29,19875.86,16.0,8.0,6.0,21.0,3.0,0.5,0.0,0.0,0.0,0.0
363,27,19875.86,9.0,2.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
364,27,19875.86,3.0,1.0,1.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0
365,27,19875.86,2.0,0.0,0.0,4.0,3.0,0.6666666666666666,6.0,6.0,0.0,0.0
366,25,19875.86,2.0,12.0,7.0,7.0,4.0,0.6666666666666666,1.0,1.0,0.0,0.0
367,25,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,23,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,19,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,18,18471.13,2.0,5.0,2.0,2.0,1.0,0.1666666666666666,4.0,4.0,0.0,0.0
373,38,18429.39,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
374,19,18236.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,21,17888.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,22,17715.35,1.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0
378,24,17391.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,38,16894.48,31.0,18.0,11.0,47.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
383,30,16496.96,2.0,0.0,0.0,6.0,5.0,0.3333333333333333,0.0,0.0,0.0,0.0
386,35,14906.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,33,14906.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,25,14906.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,19,14906.89,17.0,14.0,13.0,15.0,3.0,0.8333333333333334,11.0,11.0,0.0,0.0
403,17,12697.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,24,12422.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,18,12422.41,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
410,24,11580.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,20,10931.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,28,10120.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,34,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,33,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,31,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,30,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,24,9937.93,1.0,0.0,0.0,4.0,4.0,0.5,0.0,0.0,0.0,0.0
438,22,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,21,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,20,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,18,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,17,9937.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,25,8447.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,24,7453.45,4.0,3.0,2.0,6.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0
456,35,4968.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,31,4968.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,27,4968.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,21,4968.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,20,4968.96,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
504,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,16,0.0,26.0,66.0,89.0,15.0,6.0,1.3333333333333333,0.0,0.0,0.0,0.0
506,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,16,0.0,3.0,0.0,0.0,16.0,15.0,5.666666666666667,0.0,0.0,0.0,0.0
516,16,0.0,2.0,0.0,0.0,2.0,2.0,0.1666666666666666,0.0,0.0,0.0,0.0
517,16,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
520,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,15,0.0,5.0,0.0,0.0,3.0,3.0,0.5,0.0,0.0,0.0,0.0
528,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
